  A Bad Haircut,dreadful,awful,terrible,horrible,horrific
Bumper Stickers,expressive,humorous,provocative,decorative,personalized
Bungee Jumping,thrilling,adventurous,risky,exciting,exhilarating
Buying A House,significant,expensive,daunting,aspirational,life-changing
Cabbage,healthy,green,leafy,crunchy,versatile
Cactus,resilient,spiky,exotic,hardy,distinctive
California,sunny,diverse,innovative,expansive,iconic
Camping Trip,adventurous,fun,natural,relaxing,escapist
Canada,peaceful,diverse,cold,friendly,vast
Canadians,friendly,polite,hockey-loving,apologetic,warm-hearted
Captain Kirk,brave,iconic,commanding,adventurous,charismatic
Car Bombs,deadly,dangerous,fearful,destructive,terrifying
Car Horns,loud,annoying,necessary,alerting,blaring
Carl Sagan,brilliant,inspirational,cosmic,thoughtful,educational
Carnival Workers,boisterous,colorful,hard-working,mysterious,nomadic
Cary Grant,charming,elegant,sophisticated,iconic,dashing
Casablanca,romantic,classic,timeless,memorable,iconic
Casinos,exciting,glamorous,risky,lively,opulent
Castles,majestic,historic,grand,romantic,mysterious
Caves,mysterious,ancient,dark,cool,exploratory
Celine Dion,talented,emotional,diva,powerful,celebrated
Cell Phones,ubiquitous,essential,innovative,convenient,distracting
Cesar Chavez,inspirational,determined,righteous,advocate,heroic
Chain Letters,annoying,superstitious,deceptive,spreading,irritating
Chains,strong,binding,restrictive,metallic,durable
Challenger Explosion,tragic,historic,shocking,heartbreaking,momentous
Chameleons,colorful,adaptive,mysterious,unique,elusive
Charging Rhinos,powerful,threatening,forceful,intimidating,wild
Cheesecake,delicious,rich,creamy,decadent,sweet
Cher,iconic,talented,dynamic,diva,long-lasting
Chicago,windy,vibrant,cultural,historic,bustling
Chicken Pox,itchy,contagious,childhood,vaccine,spots
Chickens,farm,feathers,clucking,eggs,pecking
Chimpanzees,intelligent,wild,playful,social,primates
China,ancient,cultural,populous,Great Wall,tea
Chinatown,vibrant,cultural,ethnic,food,markets
Choir Boys,angelic,harmonious,youthful,choral,sacred
Chorus Girls,dazzling,performative,dance,showbiz,glamorous
Cigarette Burns,damaging,accidental,painful,fire,hazard
Cigarettes,addictive,smoky,unhealthy,tar,nicotine
Cinco de Mayo,festive,Mexican,heritage,celebration,parades
Cindy Crawford,iconic,supermodel,beauty,fashion,mole
Clark Gable,charming,classic,actor,"Gone With The Wind",handsome
Claude Monet,impressionist,painter,waterlilies,artist,beauty
Cleaning The Bathroom,necessary,tedious,hygienic,chore,scrubbing
Cleopatra,ancient,Egyptian,queen,pharaoh,legendary
Clint Eastwood,rugged,director,actor,"Dirty Harry",iconic
Clowns,comedic,scary,entertaining,circus,colorful
Cocaine,illegal,addictive,dangerous,drug,stimulant
Cockroaches,survivors,pests,creepy,indestructible,nocturnal
Coconuts,tropical,hard,water,milk,beach
Cold Pizza,cold-blooded,leftovers,convenient,fast food,comforting
Communists,political,revolutionary,ideological,controversial,historical
Commuting,daily,tedious,necessary,public transportation,exhausting
Computer Hackers,skilled,unethical,intelligent,tech-savvy,criminal
Computers,essential,innovative,ubiquitous,high-tech,intelligent
Confucius,wise,philosophical,ancient,Chinese,thoughtful
Conspiracy Theories,controversial,unbelievable,speculative,mysterious,paranoid
Construction Workers,hard-working,skillful,industrious,outdoor,essential
Corn On The Cob,summer,tasty,traditional,barbecue,juicy
Corvettes,sporty,luxurious,fast,stylish,iconic
Count Dracula,terrifying,legendary,nocturnal,transylvanian,immortal
Country Music,traditional,emotional,cultural,storytelling,authentic
Cow-Pies,natural,unpleasant,farm,organic,biodegradable
Crazy Horse,historical,indigenous,warrior,legendary,respected
Creamed Corn,comfort food,creamy,side dish,traditional,soft
Crystal Balls,mystical,predictive,ornamental,psychic,shiny
Cuba,island,Caribbean,communist,cultural,historic
Cults,extreme,manipulative,dangerous,secretive,controversial
Custer's Last Stand,historical,battle,defeat,military,American history
Dandruff,unpleasant,common,flaky,scalp condition,itchy
Danielle Steel,prolific,romantic,author,successful,novelist
Danny DeVito,versatile,funny,talented,short,actor
Dark Alleys,dangerous,ominous,shady,urban,eerie
Darth Vader,iconic,evil,masked,Star Wars,villainous
Dating,romantic,awkward,exciting,relationship,social
David Letterman,comedian,late-night host,legendary,entertaining,interviewer
Daytime TV,television,entertaining,soaps,informative,relaxing
Death Valley,desolate,extreme,scorching,desert,national park
Deer Hunting,traditional,sporting,outdoor,ethical,game
Demi Moore,actress,successful,beautiful,talented,iconic
Democrats,political,liberal,progressive,policy,party
Denzel Washington,actor,talented,versatile,charismatic,legendary
Detroit,urban,industrial,city,motor city,struggling
Diamonds,precious,gems,shiny,luxurious,sparkling
Discos,dancing,nightlife,retro,loud,glamorous
Discovering America,historical,exploration,Christopher Columbus,expedition,pioneering
Disneyland,theme park,magical,fun,entertainment,Disney
Divorce,separation,legal,emotional,breakup,ending
Doctors,medical,professionals,healthcare,physicians,experts
Doing The Dishes,chores,domestic,housework,cleansing,kitchen
Dolly Parton,iconic,singer-songwriter,entertainer,talented,inspirational
Dr. Kevorkin,controversial,physician,advocate,ethicist,polarizing
Dr. Seuss,author,children's books,imaginative,creative,whimsical
Driving Off A Cliff,terrifying,accident,dangerous,reckless,fatal
Duct Tape,versatile,sticky,adhesive,handy,repair
E-Mail,digital,communication,electronic,message,online
Ear Wax,sticky,ear canal,hygienic,protective,waxy
Earthquakes,natural disaster,seismic,destructive,tremor,tectonic
Earwigs,insects,creepy,crawling,garden pest,pincer
East Coast,region,coastline,Atlantic Ocean,urban,New York
Eddie Murphy,comedian,actor,funny,talented,legendary
Eleanor Roosevelt,First Lady,activist,diplomat,inspirational,progressive
Electric Eels,shocking,electrifying,marine,water,creature
Electricity,powerful,energy,electrical,current,technology
Elephants,majestic,giant,endangered,ivory,tusks
Elizabeth Taylor,actress,Hollywood,iconic,beauty,talented
Elvis Presley,rock and roll,legendary,musician,king of rock,iconic
Emily Dickinson,poet,lyricist,hermit,prolific,deep
Ernest Hemingway,author,writer,literary,adventurous,nobel prize winner
Europe,continent,diverse,European Union,historical,cultural
Exorcism,ritual,spiritual,possessed,religious,demonic
Eyes,vision,perception,visual,ocular,sight
Falling Down,accidental,unexpected,gravity,tumble,descend
Family Reunions,gathering,relatives,celebration,kinship,memories
Family Vacations,travel,relaxation,memories,bonding,fun
Family Values,tradition,ethics,morality,culture,unity
Fast Food,quick,convenient,junk food,restaurant,drive-thru
Feathers,plumage,birds,soft,ornamental,flight
Feminists,activists,advocates,equality,women's rights,movement
Festering Wounds,infected,pus,painful,unhealthy,inflammation
Fidel Castro,revolutionary,politician,Cuban,controversial,leader
Firefighters,brave,heroes,emergency,rescue,firefighting
Firestorms,wildfire,blaze,uncontrollable,destructive,inferno
Fireworks,pyrotechnics,celebration,explosive,light,spectacle
First Man On The Moon,historic,Neil Armstrong,space,exploration,achievement
Flipper,dolphin,mammal,television show,sea creature,intelligent
Fly Fishing,angling,sport,recreational,angling technique,outdoor
Flying Monkeys,fantasy,creature,mythical,The Wizard of Oz,menacing
Forest Fires,blaze,woodland,wildfire,destructive,smoke
Fort Knox,treasury,gold,secure,stronghold,military base
Fourth Of July,independence,celebration,patriotic,fireworks,American holiday
Frank Lloyd Wright,architect,innovative,designer,modernist,visionary
Frank Sinatra,singer,entertainer,legendary,iconic,talented
Freckles,skin,spots,pigmentation,facial feature,beauty
Freedom,liberty,independence,choice,autonomy,free will
French Wines,vin,France,grapes,vineyards,winemaking
Fresh Water Pearls,jewelry,pearl farming,lustrous,iridescent,harvest
Friction,opposition,conflict,resistance,tension,disagreement
Fund Raising,charity,financial support,philanthropy,campaign,raising money
Funerals,mourning,memorial,ceremony,death,sadness
Fur,animal skin,pelt,coat,warmth,controversial
Fuzz,soft,hair,down,lint,fluff
Gall Bladder,organ,bile,digestive system,health,medical
Gang Members,criminals,street,organized crime,violence,gangsters
Garrison Keillor,writer,radio host,humorist,storyteller,A Prairie Home Companion
Garth Brooks,country music,singer,legendary,iconic,entertainer
Geishas,Japanese,entertainment,culture,tradition,art
Gen. George S. Patton,general,World War II,military,strategy,leader
Genetic Engineering,biology,manipulation,biotechnology,modification,science
George W. Bush,president,United States,Republican,politician,Texas
George Washington,first president,revolutionary leader,Founding Father,commander-in-chief,American history
Georgia O'Keeffe,artist,painter,modernist,flowers,southwest landscapes
Getting A Hug,affectionate,embrace,physical contact,warmth,comfort
Ghost Towns,abandoned,desolate,former settlement,haunted,empty
Ghosts,spirits,apparitions,paranormal,haunting,afterlife
Giant Squid,marine,cephalopod,deep sea,large,mythical
Gila Monsters,lizard,reptile,venomous,southwestern,prehistoric
Gingko Trees,tree,deciduous,foliage,ancient,medicinal
Ginseng,herb,medicinal,root,traditional medicine,Asian
Girl Scouts,youth organization,cookies,community service,leadership,girls
Girlfriends,romantic partner,significant other,relationship,love,companion
Giving A Hug,affectionate,embrace,physical contact,warmth,comfort
Glaciers,ice,ice cap,melting,polar,environmental
Glazed Donuts,pastry,sweet,treat,bakery,icing
Global Warming,climate change,environment,temperature rise,greenhouse gases,weather
Going To Church,religious,spiritual,faith,community,prayer
Going To Grandma's,family visit,home-cooked meal,love,memories,tradition
Going To School,education,learning,schoolwork,classmates,teachers
Going To The Dentist,dental appointment,oral hygiene,check-up,health,teeth
Going To The Gym,exercise,fitness,workout,health,strength
Gold Chains,jewelry,valuable,luxury,fashion,accessory
Goldfish,pet,aquarium,freshwater,orange,swimming
Golf-Ball-Sized Hail,weather,hailstorm,large,destructive,precipitation
Grace Kelly,actress,princess,elegant,classic,Hollywood
Graffiti,street art,vandalism,spray paint,urban,expression
Grass Skirts,Hawaiian,traditional,costume,hula,Polynesian
Grave Robbers,theft,illegal,cemetery,desecration,historical
Gravity,physics,force,attraction,weight,universal
Greenpeace,environmental,activism,organization,conservation,protest
Gym Teachers,education,physical fitness,coach,school,exercise
Hair Transplants,surgery,baldness,restoration,follicles,cosmetic
Hairballs,cats,fur,coughing,grooming,pet health
Halloween,holiday,October 31st,costumes,trick-or-treating,spooky
Hand Grenades,explosives,military,weapon,warfare,dangerous
Handcuffs,restraint,law enforcement,police,arrest,shackles
Handguns,firearms,pistol,self-defense,weapon,shooting
Hangnails,irritation,finger,nail,painful,grooming
Having A Baby,childbirth,pregnancy,parenthood,family,joy
Having An Operation,surgery,medical procedure,hospital,recovery,anesthesia
Hawaii,island,Pacific Ocean,tropical,paradise,aloha
Helen Keller,advocate,author,deaf-blind,inspirational,education
Hiccups,involuntary,spasms,diaphragm,annoying,hic
High School Football,sports,Friday nights,team spirit,rivalry,touchdowns
High School Reunions,classmates,nostalgia,memories,gathering,reconnecting
Hillary Rodham Clinton,politician,senator,secretary of state,presidential candidate,public figure
Hiroshima,atomic bomb,World War II,devastation,Japan,historical
HMOs,health care,insurance,managed care,medical,coverage
Hockey,ice,puck,skates,goal,sport
Hollywood,film industry,movies,celebrities,glamour,entertainment
Homeless Shelters,housing,support,charity,poverty,community
Homer Simpson,cartoon character,The Simpsons,beer,donuts,comedic
Homework,assignments,studying,school,learning,tasks
Hooligans,troublemakers,unruly,rowdy,mischief,delinquents
Horseback Riding,equestrian,horse,saddle,riding,leisure
Hot Lava,game,childhood,pretend,imaginary,volcanic
House Guests,visitors,hospitality,accommodations,hosting,stay
Hummingbirds,birds,small,colorful,rapid wings,nectar
Humphrey Bogart,actor,classic films,Casablanca,tough guy,legend
Icebergs,ice,floating,Antarctic,Titanic,glacier
In A Coma,unconscious,medical condition,sleep-like,coma state,coma ward
Incense,aromatic,fragrance,burning,spiritual,relaxation
India,South Asia,diverse,culture,Bollywood,Taj Mahal
Indiana Jones,adventurer,archaeologist,whip,hat,Harrison Ford
Industrial Revolution,manufacturing,innovation,steam engine,factories,urbanization
Infomercials,television,advertising,product promotion,demonstration,sales
Inside The Sun,solar,heat,nuclear fusion,plasma,core
Intellectuals,thinkers,scholars,academics,intellectuals,knowledge
Ireland,Celtic,green,shamrock,Dublin,St. Patrick's Day
Israel,Middle East,Jerusalem,Jewish,Tel Aviv,Holy Land
Italy,Mediterranean,Rome,pasta,pizza,Renaissance
Jack Nicholson,actor,The Shining,iconic,legendary,Hollywood
Jack The Ripper,serial killer,mystery,Victorian London,unsolved
Jackie Chan,martial arts,actor,stuntman,action,comedy
Jacques Cousteau,oceanographer,explorer,marine conservationist,documentary filmmaker
Jamaica,Caribbean,reggae,Bob Marley,beaches,jerk chicken
James Bond,spy,MI6,007,espionage,action
James Dean,actor,Rebel Without a Cause,icon,Hollywood,tragic
Japan,East Asia,Tokyo,sushi,samurai,technology
Japanese,people,culture,language,sushi,anime
Jelly Beans,candy,colorful,sweet,Easter,flavors
Jennifer Lopez,singer,actress,dancer,J.Lo,multi-talented
Jerry Springer,talk show host,controversial,tabloid,The Jerry Springer Show
Jesse Jackson,civil rights activist,reverend,Rainbow PUSH Coalition,politician
Jesse Ventura,wrestler,actor,governor,conspiracy theorist,Navy SEAL
Jim Carrey,comedian,actor,comedian,rubber-faced,versatile
Jimmy Stewart,actor,It's a Wonderful Life,classic Hollywood,beloved
Joan Of Arc,French heroine,saint,medieval,warrior,martyr
Jodie Foster,actress,director,Silence of the Lambs,talented,versatile
John F. Kennedy,president,Camelot,JFK,assassinated,political dynasty
John Glenn,astronaut,space pioneer,senator,Mercury Seven,American hero
John Philip Sousa,composer,marches,The Stars and Stripes Forever,bandmaster
John Travolta,actor,dancer,Saturday Night Fever,Pulp Fiction,iconic
Judge Judy,television judge,reality TV,no-nonsense,Judy Sheindlin
Julia Roberts,actress,Pretty Woman,Oscar winner,America's sweetheart
Junk Mail,unsolicited mail,spam,advertisements,flyers,nuisance
Jupiter,planet,gas giant,solar system,largest,Jupiter's moons
Katherine Hepburn,actress,Hollywood legend,The Philadelphia Story,iconic
Keanu Reeves,actor,The Matrix,John Wick,beloved,enigmatic
Killer Whales,orcas,marine mammals,apex predators,black and white
Kilts,Scottish,traditional,tartan,men's skirt,Highlander
King Arthur,legendary,Camelot,Excalibur,Knights of the Round Table,medieval
King Henry VIII,Tudor,monarch,six wives,England,historical
Knock-Knock Jokes,humor,puns,wordplay,silly,door
Labor Unions,workers,collective bargaining,strikes,organized,rights
Large Mouth Bass,fish,freshwater,angling,sport fishing,bass fishing
Las Vegas,city,Nevada,gambling,entertainment,The Strip
Lawyers,attorneys,legal,counsel,courtroom,litigation
Leaf Blowers,gardening,yard work,tool,landscaping,noisy
Leather,material,animal hide,durable,fashion,craftsmanship
Leeches,bloodsuckers,medical,ancient,therapy,leeching
Lemons,citrus,sour,yellow,lemonade,cooking
Lenin's Tomb,Moscow,Russia,mausoleum,Vladimir Lenin,Red Square
Leonardo Da Vinci,artist,inventor,Renaissance man,Mona Lisa,polymath
Lightning,electricity,storm,thunder,bolt,atmospheric discharge
Loan Sharks,illegal,predatory lending,extortion,criminal,debt
Lobster,seafood,crustacean,delicious,expensive,clawed
Local Police,law enforcement,officers,community,public safety,patrol
Log Cabins,rustic,wooden,home,wilderness,pioneer
Lollipops,candy,sweet,sucker,children,treat
London,capital,England,UK,Thames River,historic
Looking For A Job,job search,unemployment,career,interviews,resumes
Los Angeles,city,California,Hollywood,entertainment,diverse
Losing Your Job,unemployment,termination,layoff,downsizing,job loss
Lucille Ball,actress,comedian,I Love Lucy,redhead,television
Machine Guns,firearms,automatic,military,weapon,rapid-fire
Mad Cow Disease,BSE,bovine spongiform encephalopathy,prion,cattle,brain disease
Madame Curie,scientist,physicist,chemist,Nobel Prize,radioactivity
Madonna,singer,pop icon,Queen of Pop,Material Girl,Madonna Louise Ciccone
Magic Tricks,illusion,sleight of hand,magician,entertainment,prestidigitation
Mahatma Gandhi,leader,India,independence,nonviolent resistance,civil rights
Manhattan,borough,New York City,skyline,Times Square,Central Park
Mardi Gras,festival,New Orleans,Fat Tuesday,carnival,beads
Marilyn Monroe,actress,icon,blonde bombshell,Hollywood,Norma Jeane Mortenson
Mark Twain,author,humorist,The Adventures of Huckleberry Finn,Samuel Clemens
Marriage,wedding,union,vows,commitment,partnership
Mars,planet,red planet,NASA,exploration,Martian
Martha Stewart,entrepreneur,homemaking,lifestyle,Martha Stewart Living
Martin Luther King,Jr.,civil rights leader,activism,I Have a Dream,Nobel Peace Prize
Meat Cleavers,kitchen tool,butcher,chopping,blade,cooking
Meatloaf,dish,ground meat,loaf,comfort food,dinner
Meg Ryan,actress,romantic comedies,Sleepless in Seattle,When Harry Met Sally,You've Got Mail
Mel Gibson,actor,director,Braveheart,Lethal Weapon,controversial
Men,males,gender,masculinity,boys,guys
Men In Black,movie,science fiction,aliens,Will Smith,Tommy Lee Jones
Meryl Streep,actress,Oscars,The Iron Lady,Sophie's Choice,versatile
Mexico,country,North America,culture,tacos,beaches
Mice,rodents,small mammals,squeak,cheese,pest
Michael Jackson,singer,pop icon,King of Pop,Thriller,moonwalk
Michael Jordan,basketball player,NBA,Chicago Bulls,Air Jordan,GOAT
Michelangelo,artist,Renaissance,sculptor,painter,Sistine Chapel
Michelle Pfeiffer,actress,Catwoman,Scarface,Dangerous Liaisons,iconic
Microsoft,technology,software,Windows,Bill Gates,computer
Midlife Crisis,psychological,age,identity,transition,existential
Mike Tyson,boxer,heavyweight champion,Iron Mike,controversial
Miles Davis,musician,jazz,trumpet,Kind of Blue,innovator
Milk,dairy,calcium,white,cow,lactose
Milk Duds,candy,chocolate,caramel,movie theater,chewy
Mirrors,reflection,glass,vanity,perception,self-image
Mold,fungus,mildew,growth,damp,spores
Money,currency,wealth,finances,cash,dollars
Morticians,funeral directors,embalmers,undertakers,funeral homes,cremation
Mosquitoes,insects,bites,bloodsuckers,buzzing,malaria
Motorcycles,bikes,two-wheelers,Harley-Davidson,riding,motorcycle gangs
Mount Rushmore,monument,South Dakota,presidents,sculpture,granite
MTV,music television,channel,videos,pop culture,reality TV
Mud,dirt,wet,soil,muddy,earth
Mudslides,natural disasters,landslides,erosion,destruction,heavy rain
Muhammad Ali,boxer,heavyweight champion,Cassius Clay,The Greatest,legend
Musicals,theater,Broadway,singing,dancing,stage
My 16th Birthday,milestone,celebration,teenager,sweet sixteen,party
My Bank Account,finances,money,savings,balance,transactions
My Bathroom,hygiene,personal care,shower,toilet,sink
My Bedroom,personal space,relaxation,sleep,comfort,decor
My Body,physical self,anatomy,health,appearance,wellness
My Boss,supervisor,manager,employer,work,authority
My Dreams,aspirations,goals,ambitions,desires,subconscious
My Family,relatives,loved ones,parents,siblings,home,support
My First Kiss,romantic,memorable,adolescence,love,innocence
My Friends,companions,buddies,pals,social circle,camaraderie
My Future,destiny,potential,goals,aspirations,uncertainty
My Hair,haircare,hairstyle,grooming,follicles,appearance
My High School Prom,formal dance,teenagers,dresses,tuxedos,memories
My Job,employment,career,workplace,responsibilities,income
My Love Life,romantic relationships,dating,emotions,intimacy,heartbreak
My Mind,thoughts,intellect,consciousness,cognition,mental health
My Neighborhood,community,neighbors,environment,local area,streets
My Past,history,memories,experiences,nostalgia,lessons
My Personality,traits,characteristics,behavior,temperament,identity
My Refrigerator,appliance,food storage,groceries,organization,contents
Napoleon Bonaparte,French emperor,military leader,conqueror,Napoleon I,historic figure
NASCAR,racing,motorsport,stock cars,speedway,Daytona 500
Neil Simon,playwright,comedy,Broadway,The Odd Couple,Pulitzer Prize
New Orleans,city,Louisiana,jazz,Mardi Gras,French Quarter
New Shoes,footwear,fashion,shopping,comfort,style
New York City,NYC,Big Apple,Manhattan,Times Square,Statue of Liberty
Niagara Falls,waterfall,natural wonder,Canada,honeymoon destination
Nicholas Cage,actor,films,Hollywood,eccentric,Nicolas Coppola
Ninjas,warriors,stealth,Japan,martial arts,assassins
Nobel Peace Prize,award,recognition,peace,Nobel Committee,Alfred Nobel
Noisy Neighbors,neighbors,noise,disturbance,annoyance,apartment
Normal Rockwell,artist,illustrator,Americana,Saturday Evening Post,paintings
Nuclear Power Plants,energy,reactors,nuclear fission,electricity,radiation
NYPD,New York City Police Department,law enforcement,cops,officers,crime
Oil Spills,environmental disasters,pollution,marine life,crude oil,Exxon Valdez
Olive Oil,cooking,Mediterranean,healthy,oil,salad dressing
On-Line Shopping,e-commerce,internet,Amazon,online retail,convenience
Oprah Winfrey,talk show host,media mogul,philanthropist,Oprah,TV
Oral Surgery,dental,dentist,teeth,procedure,anesthesia
Oranges,citrus fruit,vitamin C,Florida,orange juice,breakfast
Oxygen,air,element,breathing,atmosphere,essential
Pablo Picasso,artist,painter,Cubism,Guernica,modern art
Parenting,raising children,family,responsibility,guidance,love
Paris,France,capital,Eiffel Tower,Seine River,culture,romance
Paying Bills,finances,expenses,budgeting,utilities,obligations
Paying Taxes,taxation,government,IRS,income tax,deductions
Penguins,birds,Antarctica,flightless,waddle,cold climate
Picking Your Nose,hygiene,behavior,manners,embarrassing,booger
Pigeons,birds,urban,city,flying,cooing
Pigs,farm animals,bacon,pork,oink,pigsty
Piranha,fish,Amazon River,carnivorous,teeth,dangerous
Pirates,buccaneers,pirates of the Caribbean,treasure,plunder,sea
Pit Bulls,dog breed,muscular,loyal,misunderstood,American Staffordshire Terrier
Plane Crashes,aviation accidents,disasters,air travel,investigations,safety
Plastic,synthetic,polymer,material,versatile,pollution
Playing Chess,board game,strategy,intellect,pieces,checkmate
Poison Ivy,plant,rash,allergic reaction,itch,foliage
Pokemon,video games,anime,trading cards,Pikachu,Nintendo
